the_geom,BIN,CNSTRCT_YR,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
"MULTIPOLYGON (((-73.81407953025011 40.765531678580885, -73.81392665905935 40.76551656803478, -73.81393326090524 40.765477955996204, -73.8139117987106 40.76547583486034, -73.81389889826434 40.765464444234595, -73.81389866186251 40.76545283002726, -73.81391185145162 40.765440002912506, -73.81392018740557 40.76544075299024, -73.81392636704301 40.76540107136911, -73.81390483448445 40.76539913292095, -73.81390443720348 40.76539592557747, -73.8139043723328 40.76539540498021, -73.8139165405666 40.765306420424, -73.81391703024921 40.76530283810157, -73.81393236813076 40.76530405064095, -73.81393155200604 40.765310016976045, -73.81406542009978 40.76531934261686, -73.81408225338244 40.765330908865884, -73.81408443928837 40.76543841839865, -73.81408634805048 40.765532352355144, -73.81407953025011 40.765531678580885)))",4113279,1931,,08/22/2017 12:00:00 AM +0000,Constructed,427244,17.03,2100,89,3565.26535450365,261.97167543295,4050090001,4050090001,Photogramm
"MULTIPOLYGON (((-73.92980913295727 40.62217735634317, -73.92996972861822 40.622165637653296, -73.92997553145499 40.62221180997532, -73.9298072933307 40.62222408593209, -73.92980493637657 40.62220533205337, -73.92980149060828 40.622177914502146, -73.92980913295727 40.62217735634317)))",3218430,1920,,08/22/2017 12:00:00 AM +0000,Constructed,684155,24.38,2100,16,792.84039268236,127.63179153302,3078450022,3078450022,Photogramm
"MULTIPOLYGON (((-73.8940218029931 40.661062394199234, -73.89408128351853 40.661035950369715, -73.89412704125509 40.66109563643893, -73.89409440883966 40.661110145246944, -73.894140180802 40.66116984843323, -73.89417281323527 40.66115534051284, -73.89421538135582 40.66121086592436, -73.89422890871413 40.66122851138741, -73.89421850694252 40.66123313588298, -73.89420500120522 40.66123913981647, -73.89419150828493 40.661231843123865, -73.89416182713045 40.66124503901011, -73.8940218029931 40.661062394199234)))",3331367,1930,,08/22/2017 12:00:00 AM +0000,Constructed,5991,35.45,2100,22,1244.41538623196,220.17219087724,3042970005,3042970005,Photogramm
"MULTIPOLYGON (((-74.08646916557274 40.58862627000432, -74.08641905505738 40.58868303259126, -74.08638381581831 40.58872295138812, -74.0863357119339 40.588698270868434, -74.0863613345895 40.588669245745336, -74.08642106054519 40.588601589521076, -74.08646916557274 40.58862627000432)))",5049876,1965,,08/22/2017 12:00:00 AM +0000,Constructed,41387,26.72,2100,8,683.75855430828,117.12408039539,5033710039,5033710039,Photogramm
"MULTIPOLYGON (((-73.83729938960325 40.68800588652471, -73.83738071380233 40.687985663344804, -73.83740251457748 40.68803646068366, -73.83732119032085 40.688056684779355, -73.83729938960325 40.68800588652471)))",4197834,1930,,08/17/2017 12:00:00 AM +0000,Constructed,70346,10.82,5110,43,461.95146098238,86.3927883068,4094080013,4094080013,Photogramm
"MULTIPOLYGON (((-73.94216573565735 40.64053384647899, -73.94216823842562 40.64053369645053, -73.94221192869632 40.64053107539231, -73.94223095777278 40.64052993409056, -73.94223649530963 40.64052960187938, -73.94224156218857 40.6405786178544, -73.9422265514806 40.64057951803673, -73.94217094553416 40.64058285352385, -73.94217080248465 40.6405828624571, -73.94216573565735 40.64053384647899)))",3355644,1920,,08/17/2017 12:00:00 AM +0000,Constructed,916035,8.41,5110,27,352.86170320053,75.22344193481,3049700073,3049700073,Photogramm
"MULTIPOLYGON (((-74.10110988275392 40.59401847716809, -74.10113798430076 40.59399107292533, -74.1011446767209 40.59399506085625, -74.10116121938097 40.59397892782619, -74.10122265133307 40.59401553223598, -74.10119527408392 40.59404223075176, -74.10114251068141 40.59409368538312, -74.10114002998701 40.59409610547181, -74.10114775584155 40.59410070845094, -74.10111531922495 40.59413234086559, -74.1010394701342 40.59408714547572, -74.10104295703307 40.59408374563556, -74.10110988275392 40.59401847716809)))",5022595,1920,,08/22/2017 12:00:00 AM +0000,Constructed,580499,31.05,2100,100,1268.2052469768,157.24608406783,5008690754,5008690754,Photogramm
"MULTIPOLYGON (((-73.95541518712452 40.77167243220691, -73.95551243282007 40.77153911787368, -73.9555166167099 40.7715333814824, -73.95557468174266 40.77155786245312, -73.95551244265968 40.77164318723475, -73.95547325342635 40.77169691232822, -73.95541518712452 40.77167243220691)))",1045196,1899,,08/22/2017 12:00:00 AM +0000,Constructed,562430,50.12,2100,39,1065.3559937282,152.63968598197,1014510146,1014510146,Photogramm
"MULTIPOLYGON (((-73.98529208020234 40.589559792241516, -73.98532246412003 40.58952959978297, -73.98537867896484 40.58956247694689, -73.98538208055821 40.58956446663543, -73.98535169665156 40.589594659109586, -73.98532678352323 40.58958008906788, -73.98529208020234 40.589559792241516)))",3385149,1920,,08/17/2017 12:00:00 AM +0000,Constructed,935355,11.09,5110,9,289.33431677292,69.46659433278,3069020060,3069020060,Photogramm
"MULTIPOLYGON (((-73.79891699197742 40.59798871900267, -73.79908864259185 40.597979398015745, -73.79909424179871 40.59803930711315, -73.79892259103102 40.59804862810838, -73.79891699197742 40.59798871900267)))",4302953,1940,,08/22/2017 12:00:00 AM +0000,Constructed,575766,25.57337904,2100,7,1045.70744640037,139.34158877607,4160460042,4160460042,Photogramm
"MULTIPOLYGON (((-74.15294255998047 40.536298672280736, -74.1530084271 40.536232393858995, -74.15305445797247 40.5362590214752, -74.1530862684286 40.53627742369422, -74.1529954219084 40.53636883678678, -74.15291758053449 40.53632380689029, -74.15294255998047 40.536298672280736)))",5067996,1955,,08/22/2017 12:00:00 AM +0000,Constructed,186822,25.96,2100,35,1134.86130298293,137.89600380885,5052920025,5052920025,Photogramm
"MULTIPOLYGON (((-73.93399666024612 40.66174091154891, -73.93415383506823 40.66173124452971, -73.93416270464374 40.6617306993909, -73.93416933493732 40.661793210741365, -73.93399094510366 40.661804181264365, -73.93398431615785 40.661741670804936, -73.93399666024612 40.66174091154891)))",3099177,1945,,08/22/2017 12:00:00 AM +0000,Constructed,681039,17.12,2100,35,1134.51577632849,145.00405582127,3045890064,3045890064,Photogramm
"MULTIPOLYGON (((-73.74831218746189 40.697297025171835, -73.74817493502383 40.697332930192, -73.7481514009542 40.697280817158145, -73.7482971414787 40.697242692046416, -73.7483038601556 40.69725757065879, -73.7483227598936 40.697252626732, -73.74833099457227 40.69727086037889, -73.7483145997159 40.697275148805915, -73.74832318053556 40.69729414954947, -73.74831218746189 40.697297025171835)))",4237967,1940,,08/22/2017 12:00:00 AM +0000,Constructed,847570,12.51698582,2100,56,902.23299607033,136.70264055116,4110480001,4110480001,Photogramm
"MULTIPOLYGON (((-73.99458632705716 40.62480627294391, -73.99464410909637 40.62475058118961, -73.99466638296907 40.624763998172156, -73.99470110503191 40.62478491255382, -73.99469675182203 40.6247891078758, -73.99454121787949 40.6249390146624, -73.99450130638378 40.624914974279804, -73.99460341153691 40.624816563989185, -73.99458632705716 40.62480627294391)))",3132380,1931,,08/22/2017 12:00:00 AM +0000,Constructed,241448,26.51,2100,43,1167.1168558519,183.47343912541,3055230072,3055230072,Photogramm
"MULTIPOLYGON (((-74.02838334298156 40.63576896238262, -74.02826818378735 40.635741117887356, -74.02825908911473 40.635727707792924, -74.02826532886796 40.63571273242945, -74.02824885139216 40.63570874808009, -74.0282591014013 40.635684145183546, -74.02828554361574 40.63569053776998, -74.02828718975536 40.6356865858877, -74.02843678513295 40.63572275615617, -74.02841440527888 40.63577647314398, -74.02838334298156 40.63576896238262)))",3145644,1920,,08/22/2017 12:00:00 AM +0000,Constructed,560761,24.71,2100,73,987.16811667544,141.30808086918,3058710090,3058710090,Photogramm
"MULTIPOLYGON (((-73.94812868336817 40.60078571724418, -73.94819312530132 40.600777529945894, -73.94819849135408 40.60080206529539, -73.94813404821646 40.600810252596084, -73.94812868336817 40.60078571724418)))",3372209,1940,,08/17/2017 12:00:00 AM +0000,Constructed,976728,10.18,5110,12,164.40754994639,54.40868457814,3073280029,3073280029,Photogramm
"MULTIPOLYGON (((-73.85383964500775 40.71327804003066, -73.85389255060184 40.71319522678592, -73.85394612823382 40.713215044797266, -73.85388498005196 40.7133107591427, -73.85387206091333 40.71333098174668, -73.85381848321026 40.71331116370117, -73.85383964500775 40.71327804003066)))",4076746,1930,,08/22/2017 12:00:00 AM +0000,Constructed,48721,28.49,2100,58,775.63881356649,126.96164253598,4032090012,4032090012,Photogramm
